subref	form	norm	lemma	tag	curated
1@ΠΕΡΙ	ΠΕΡΙ	περι			n
1@πενίας	πενίας	πενίας	πενία		n
1@Πλούσιον	Πλούσιον	πλούσιον			n
1@ἄνθρωπον	ἄνθρωπον	ἄνθρωπον	ἄνθρωπος		n
1@ἄνθρωποι	ἄνθρωποι	ἄνθρωποι	ἄνθρωπος		n
1@νομίζουσί	νομίζουσί	νομίζουσι	νομίζω		n
1@R	R	r			n
1@250	250	250			n
1@τε	τε	τέ	τε		n
1@καὶ	καὶ	καί	καί		n
1@ὀνομάζουσιν	ὀνομάζουσιν	ὀνομάζουσιν	ὀνομάζω		n
1@ὅτῳ	ὅτῳ	ὅτῳ	ὅστις		n
1@πολὺς	πολὺς	πολύς	πολύς		n
1@μὲν	μὲν	μέν	μέν		n
1@χρυσός	χρυσός	χρυσός	χρυσός		n
1@πολὺς[2]	πολὺς	πολύς	πολύς		n
1@δὲ	δὲ	δέ	δέ		n
1@ἄργυρος	ἄργυρος	ἄργυρος	ἄργυρος		n
1@καὶ[2]	καὶ	καί	καί		n
1@γῆ	γῆ	γῆ	γῆ		n
1@καὶ[3]	καὶ	καί	καί		n
1@ἀνδράποδα	ἀνδράποδα	ἀνδράποδα			n
1@καὶ[4]	καὶ	καί	καί		n
1@οἰκία	οἰκία	οἰκία	οἰκίον		n
1@καὶ[5]	καὶ	καί	καί		n
1@συνοικίαι	συνοικίαι	συνοικίαι	συνοικία		n
1@καὶ[6]	καὶ	καί	καί		n
1@νῆες	νῆες	νῆες	ναῦς		n
1@καὶ[7]	καὶ	καί	καί		n
1@βοσκήματα	βοσκήματα	βοσκήματα	βόσκημα		n
1@καὶ[8]	καὶ	καί	καί		n
1@ὅτῳ[2]	ὅτῳ	ὅτῳ	ὅστις		n
1@γε	γε	γέ	γε		n
1@μὴ	μὴ	μή	μή		n
1@πάντα	πάντα	πάντα	πᾶς		n
1@ἔνι	ἔνι	ἔνι	ἐν		n
1@μὲν[2]	μὲν	μέν	μέν		n
1@ταῦτα	ταῦτα	ταῦτα	οὗτος		n
1@ἒν	ἒν	ἔν			n
1@δέ	δέ	δέ	δέ		n
1@τι	τι	τὶ	τι		n
1@τούτων	τούτων	τούτων	οὗτος		n
1@ὅτι	ὅτι	ὅτι	ὅτι2		n
1@πλεῖστον	πλεῖστον	πλεῖστον	πλεῖστος		n
1@καὶ[9]	καὶ	καί	καί		n
1@τοῦτον	τοῦτον	τοῦτον	οὗτος		n
1@οὕτω	οὕτω	οὕτω	οὕτως		n
1@καλοῦσι	καλοῦσι	καλοῦσι	καλέω		n
1@καὶ[10]	καὶ	καί	καί		n
1@ἄλλον	ἄλλον	ἄλλον	ἄλλος		n
1@δὲ[2]	δὲ	δέ	δέ		n
1@ἄλλου	ἄλλου	ἄλλου	ἄλλος		n
1@πλου-	πλου-	πλου-			n
1@σιώτερον	σιώτερον	σιώτερον			n
1@καὶ[11]	καὶ	καί	καί		n
1@ἕτερον	ἕτερον	ἕτερον	ἕτερος		n
1@ἦττον	ἦττον	ἦττον			n
1@ἑτέρου	ἑτέρου	ἑτέρου	ἕτερος		n
1@καὶ[12]	καὶ	καί	καί		n
1@τὸν	τὸν	τόν	ὁ		n
1@αὐτὸν	αὐτὸν	αὐτόν	αὐτός		n
1@δὲ[3]	δὲ	δέ	δέ		n
1@ἑκάτερα	ἑκάτερα	ἑκάτερα	ἑκάτερος		n
1@πρός	πρός	πρός	πρός		n
1@τε[5]	τε	τέ	τε		n
1@τὰ	τὰ	τά	ὁ		n
1@προστιθέμενα	προστιθέμενα	προστιθέμενα	προστίθημι		n
1@πρός[2]	πρός	πρός	πρός		n
1@τε[6]	τε	τέ	τε		n
1@τὰ[2]	τὰ	τά	ὁ		n
1@ἀπογιγνόμενα	ἀπογιγνόμενα	ἀπογιγνόμενα	ἀπογίγνομαι		n
2@καὶ	καὶ	καί	καί		n
2@χαίρει	χαίρει	χαίρει	χαίρω		n
2@τε	τε	τέ	τε		n
2@αὐτὸς	αὐτὸς	αὐτός	αὐτός		n
2@αὐξομένων	αὐξομένων	αὐξομένων	αὐξάνω		n
2@αὐτῷ	αὐτῷ	αὐτῷ			n
2@C	C	c			n
2@codex	codex	codex			n
2@Chisianus	Chisianus	chisianus			n
2@A	A	a			n
2@Monacensis	Monacensis	monacensis			n
2@gr	gr	gr			n
2@483	483	483			n
2@Augustanus	Augustanus	augustanus			n
2@P	P	p			n
2@Palatinus	Palatinus	palatinus			n
2@gr[2]	gr	gr			n
2@282	282	282			n
2@U	U	u			n
2@Urbinas	Urbinas	urbinas			n
2@gr[3]	gr	gr			n
2@126	126	126			n
2@I	I	i			n
2@Marcianus	Marcianus	marcianus			n
2@append	append	append			n
2@XCI	XCI	xci			n
2@2[4]	2	2			n
2@Μο	Μο	μο			n
2@Monacensis[2]	Monacensis	monacensis			n
2@gr[4]	gr	gr			n
2@101	101	101			n
2@La	La	la			n
2@Laurentianus	Laurentianus	laurentianus			n
2@LVII	LVII	lvii			n
2@44	44	44			n
2@B	B	b			n
2@Barberinus	Barberinus	barberinus			n
2@II[2]	II	ii			n
2@41	41	41			n
2@Va	Va	va			n
2@Vaticanus	Vaticanus	vaticanus			n
2@gr[5]	gr	gr			n
2@113	113	113			n
2@1[7]	1	1			n
2@περὶ	περὶ	περί			n
2@πενίας	πενίας	πενίας			n
2@titulus	titulus	titulus			n
2@in[4]	in	in			n
2@A[3]	A	a			n
2@postea	postea	postea			n
2@repositus	repositus	repositus			n
2@tum	tum	tum			n
2@oblitus	oblitus	oblitus			n
2@et	et	et			n
2@pone	pone	pone			n
2@eum	eum	eum			n
2@περὶ[2]	περὶ	περί			n
2@πλούτου	πλούτου	πλούτου			n
2@positus[2]	positus	positus			n
2@περὶ[3]	περὶ	περί			n
2@πενίας[2]	πενίας	πενίας			n
2@I[7]	I	i			n
2@γρ	γρ	γρ			n
2@περὶ[4]	περὶ	περί			n
2@φίλων	φίλων	φίλων			n
2@adscr	adscr	adscr			n
2@m3	m3	m3			n
2@περὶ[5]	περὶ	περί			n
2@φίλων[2]	φίλων	φίλων			n
2@B[3]	B	b			n
2@Va[3]	Va	va			n
2@Ferr	Ferr	ferr			n
2@Mor	Mor	mor			n
2@περὶ[6]	περὶ	περί			n
2@πλούτου[2]	πλούτου	πλούτου			n
2@Re	Re	re			n
2@2[5]	2	2			n
2@ἄνθρωπον	ἄνθρωπον	ἄνθρωπον			n
2@ex[2]	ex	ex			n
2@ἄνθρωποι	ἄνθρωποι	ἄνθρωποι			n
2@corr	corr	corr			n
2@I3	I3	i3			n
2@ἄνθρωποι[2]	ἄνθρωποι	ἄνθρωποι			n
2@inser	inser	inser			n
2@I3[2]	I3	i3			n
2@om	om	om			n
2@Μο[2]	Μο	μο			n
2@νομίζουσί	νομίζουσί	νομίζουσι			n
2@τε[2]	τε	τέ			n
2@καὶ[2]	καὶ	καί			n
2@ὀνομάζουσιν	ὀνομάζουσιν	ὀνομάζουσιν			n
2@νομίζουσιν	νομίζουσιν	νομίζουσιν			n
2@Mo[4]	Mo	mo			n
2@4[5]	4	4			n
2@οἰκίαι	οἰκίαι	οἰκίαι			n
2@ILaB	ILaB	ilab			n
2@Va[4]	Va	va			n
2@Ferr[2]	Ferr	ferr			n
2@Mor[2]	Mor	mor			n
2@et[2]	et	et			n
2@ex[3]	ex	ex			n
2@οἰκία[2]	οἰκία	οἰκία			n
2@corr[2]	corr	corr			n
2@P3	P3	p3			n
2@5	5	5			n
2@συνοικία	συνοικία	συνοικία			n
2@La[4]	La	la			n
2@6[2]	6	6			n
2@μὲν	μὲν	μέν			n
2@delendum	delendum	delendum			n
2@censuit	censuit	censuit			n
2@Sintenis	Sintenis	sintenis			n
2@7	7	7			n
2@δὲ	δὲ	δέ			n
2@οὐδὲν	οὐδὲν	οὐδέν			n
2@B[5]	B	b			n
2@8[3]	8	8			n
2@ον[2]	ον	ον			n
2@in[7]	in	in			n
2@ἕτερον	ἕτερον	ἕτερον			n
2@ιν[3]	ιν	ιν			n
2@ras	ras	ras			n
2@I3[3]	I3	i3			n
2@ἧττον	ἧττον	ἧττον			n
2@om[2]	om	om			n
2@IB	IB	ib			n
2@9	9	9			n
2@δὲ[3]	δὲ	δέ			n
2@om[3]	om	om			n
2@Ferr[3]	Ferr	ferr			n
2@Mor[3]	Mor	mor			n
2@10[2]	10	10			n
2@ἀπογινόμενα	ἀπογινόμενα	ἀπογινόμενα			n
2@Mo[7]	Mo	mo			n
2@αὐτῷ[2]	αὐτῷ	αὐτῷ			n
2@τὲ	τὲ	τέ			n
2@αὐτῷ[3]	αὐτῷ	αὐτῷ	αὐτός		n
2@αὑτῷ	αὑτῷ	αὑτῷ			n
2@La[5]	La	la			n
2@CAPUMOLa	CAPUMOLa	capumola			n
2@sed	sed	sed			n
2@in[8]	in	in			n
2@hoc	hoc	hoc			n
2@τὲ[2]	τὲ	τέ			n
2@m2	m2	m2			n
2@del[2]	del	del			n
2@τῶν	τῶν	τῶν	ὁ		n
2@ὄντων	ὄντων	ὄντων	εἰμί		n
2@ἢ	ἢ	ἤ	ἤ		n
2@πάντων	πάντων	πάντων	πᾶς		n
2@γε	γε	γέ	γε		n
2@ἐφεξῆς	ἐφεξῆς	ἐφεξῆς	ἐφεξῆς		n
2@ἢ[2]	ἢ	ἤ	τίη		n
2@μέρους	μέρους	μέρους	μέρος		n
2@ἑνός	ἑνός	ἑνός			n
2@τινος	τινος	τινός			n
2@ἔρχονταί	ἔρχονταί	ἔρχονται			n
2@τε[4]	τε	τέ	τε		n
2@συνησθησόμενοι	συνησθησόμενοι	συνησθησόμενοι			n
2@καὶ[3]	καὶ	καί	καί		n
2@συνεορτάσοντες	συνεορτάσοντες	συνεορτάσοντες			n
2@ὁπόσον	ὁπόσον	ὁπόσον	ὁπόσος		n
2@R[2]	R	r			n
2@251	251	251			n
2@ἔν	ἔν	ἔν	ἐν		n
2@τε[6]	τε	τέ	τε		n
2@φίλοις	φίλοις	φίλοις	φίλος		n
2@καὶ[4]	καὶ	καί	καί		n
2@γένει	γένει	γένει	γένος		n
