subref	form	norm	lemma	tag	curated
0@εἰς	εἰς	εἰς			n
0@ʼτὸ	ʼτὸ	ʼτό			n
0@μίαν	μίαν	μίαν			n
0@εἶναι[3]	εἶναι	εἶναι			n
0@καὶ[6]	καὶ	καί			n
0@τὴν[6]	τὴν	τήν			n
0@αὐτὴν[2]	αὐτὴν	αὐτήν			n
0@ἀνδρὸς	ἀνδρὸς	ἀνδρός			n
0@καὶ[7]	καὶ	καί			n
0@γυναικὸς[2]	γυναικὸς	γυναικός			n
0@ἀρετὴν	ἀρετὴν	ἀρετήν			n
0@προσανέγραψά	προσανέγραψά	προσανέγραψα			n
0@σοι	σοι	σοι			n
0@τὸ[5]	τὸ	τό			n
0@ἱστορικὸν	ἱστορικὸν	ἱστορικόν			n
0@ἀποδεικτικὸν	ἀποδεικτικὸν	ἀποδεικτικόν			n
0@ἔχοντα	ἔχοντα	ἔχοντα			n
0@καὶ[8]	καὶ	καί			n
0@πρὸς	πρὸς	πρός			n
0@ἡδονὴν	ἡδονὴν	ἡδονήν			n
0@μὲν[3]	μὲν	μέν			n
0@ἀκοῆς	ἀκοῆς	ἀκοῆς			n
0@οὐ[3]	οὐ	οὐ			n
0@συντεταγμένα	συντεταγμένα	συντεταγμένα			n
0@συντεταγμένα[2]	συντεταγμένα	συντεταγμένα			n
0@the[2]	the	the			n
0@Basel	Basel	basel			n
0@edition	edition	edition			n
0@of	of	of			n
0@1542	1542	1542			n
0@συντεταγμένην	συντεταγμένην	συντεταγμένην			n
0@εἰ[2]	εἰ	εἰ			n
0@δὲ[2]	δὲ	δέ			n
0@τῷ[2]	τῷ	τῷ			n
0@πείθοντι	πείθοντι	πείθοντι			n
0@καὶ[9]	καὶ	καί			n
0@τὸ[6]	τὸ	τό			n
0@τέρπον	τέρπον	τέρπον			n
0@ἔνεστι	ἔνεστι	ἔνεστι			n
0@φύσει	φύσει	φύσει			n
0@τοῦ	τοῦ	τοῦ			n
0@παραδείγματος	παραδείγματος	παραδείγματος			n
0@οὐ[4]	οὐ	οὐ			n
0@φεύγει	φεύγει	φεύγει			n
0@χάριν	χάριν	χάριν			n
0@ἀποδείξεως	ἀποδείξεως	ἀποδείξεως			n
0@συνεργὸν	συνεργὸν	συνεργόν			n
0@ὁ[4]	ὁ	ὁ			n
0@λόγος[2]	λόγος	λόγος			n
0@οὐδʼ	οὐδʼ	οὐδʼ			n
0@αἰσχύνεται	αἰσχύνεται	αἰσχύνεται			n
0@ταῖς	ταῖς	ταῖς			n
0@Μούσαις	Μούσαις	μούσαις			n
0@τὰς	τὰς	τάς			n
0@Χάριτας	Χάριτας	χάριτας			n
0@συγκαταμιγνὺς	συγκαταμιγνὺς	συγκαταμιγνύς			n
0@καλλίσταν	καλλίσταν	καλλίσταν			n
0@ταῖς[2]	ταῖς	ταῖς			n
0@Μούσαις[2]	Μούσαις	μούσαις			n
0@τὰς[2]	τὰς	τάς			n
0@Χάριτας[2]	Χάριτας	χάριτας			n
0@καλλίσταν[2]	καλλίσταν	καλλίσταν			n
0@τὰς[3]	τὰς	τάς			n
0@Χάριτας[3]	Χάριτας	χάριτας			n
0@ταῖς[3]	ταῖς	ταῖς			n
0@Μούσαις[3]	Μούσαις	μούσαις			n
0@ἁδίσταν	ἁδίσταν	ἁδίσταν			n
0@Euripides	Euripides	euripides			n
0@mss	mss	mss			n
0@καλλίστην	καλλίστην	καλλίστην			n
0@Plut	Plut	plut			n
0@mss[2]	mss	mss			n
0@συζυγίαν	συζυγίαν	συζυγίαν			n
0@ὡς[2]	ὡς	ὡς			n
0@Εὐριπίδης	Εὐριπίδης	εὐριπίδης			n
0@φησίν	φησίν	φησίν			n
0@ἐκ[2]	ἐκ	ἐκ			n
0@τοῦ[2]	τοῦ	τοῦ			n
0@φιλοκάλου	φιλοκάλου	φιλοκάλου			n
0@μάλιστα	μάλιστα	μάλιστα			n
0@τῆς[5]	τῆς	τῆς			n
0@ψυχῆς	ψυχῆς	ψυχῆς			n
0@ἀναδούμενος	ἀναδούμενος	ἀναδούμενος			n
0@τὴν[9]	τὴν	τήν			n
0@πίστιν	πίστιν	πίστιν			n
0@φέρε	φέρε	φέρε			n
0@γάρ[2]	γάρ	γάρ			n
0@εἰ[3]	εἰ	εἰ			n
0@λέγοντες	λέγοντες	λέγοντες			n
0@τὴν[10]	τὴν	τήν			n
0@αὐτὴν[3]	αὐτὴν	αὐτήν			n
0@εἶναι[4]	εἶναι	εἶναι			n
0@ζωγραφίαν	ζωγραφίαν	ζωγραφίαν			n
0@ἀνδρῶν	ἀνδρῶν	ἀνδρῶν			n
0@καὶ[10]	καὶ	καί			n
0@γυναικῶν[3]	γυναικῶν	γυναικῶν			n
0@παρειχόμεθα	παρειχόμεθα	παρειχόμεθα			n
0@τοιαύτας	τοιαύτας	τοιαύτας			n
0@γραφὰς	γραφὰς	γραφάς			n
0@γυναικῶν[4]	γυναικῶν	γυναικῶν			n
0@οἵας	οἵας	οἵας			n
0@Ἀπελλῆς	Ἀπελλῆς	ἀπελλῆς			n
0@ἀπολέλοιπεν	ἀπολέλοιπεν	ἀπολέλοιπεν			n
0@ἢ[2]	ἢ	ἤ			n
0@Ζεῦξις	Ζεῦξις	ζεῦξις			n
0@ἢ[3]	ἢ	ἤ			n
0@Νικόμαχος	Νικόμαχος	νικόμαχος			n
0@ἆρʼ	ἆρʼ	ἆρʼ			n
0@ἄν	ἄν	ἄν			n
0@τις	τις	τὶς			n
0@ἐπετίμησεν	ἐπετίμησεν	ἐπετίμησεν			n
0@ἡμῖν[2]	ἡμῖν	ἡμῖν			n
0@ὡς[3]	ὡς	ὡς			n
0@τοῦ[3]	τοῦ	τοῦ			n
0@χαρίζεσθαι	χαρίζεσθαι	χαρίζεσθαι			n
0@καὶ[11]	καὶ	καί			n
0@ψυχαγωγεῖν	ψυχαγωγεῖν	ψυχαγωγεῖν			n
0@μᾶλλον	μᾶλλον	μᾶλλον			n
0@ἢ[4]	ἢ	ἤ			n
0@τοῦ[4]	τοῦ	τοῦ			n
0@πείθειν	πείθειν	πείθειν			n
0@στοχαζομένοις	στοχαζομένοις	στοχαζομένοις			n
0@ἐγὼ	ἐγὼ	ἐγώ			n
0@μὲν[4]	μὲν	μέν			n
0@οὐκ[2]	οὐκ	οὐ			n
0@οἶμαι	οἶμαι	οἶμαι			n
0@τί[3]	τί	τί			n
0@δέ	δέ	δέ			n
0@ἐὰν	ἐὰν	ἐάν			n
0@ποιητικὴν	ποιητικὴν	ποιητικήν			n
0@πάλιν	πάλιν	πάλιν			n
0@ἢ[5]	ἢ	ἤ			n
0@μαντικὴν	μαντικὴν	μαντικήν			n
0@μαντικὴν[2]	μαντικὴν	μαντικήν			n
0@Cobet	Cobet	cobet			n
0@μιμητικὴν	μιμητικὴν	μιμητικήν			n
0@ἀποφαίνοντες	ἀποφαίνοντες	ἀποφαίνοντες			n
0@οὐχ	οὐχ	οὐ			n
0@ἑτέραν	ἑτέραν	ἑτέραν			n
0@μὲν[5]	μὲν	μέν			n
0@ἀνδρῶν[2]	ἀνδρῶν	ἀνδρῶν			n
0@ἑτέραν[2]	ἑτέραν	ἑτέραν			n
0@δὲ[3]	δὲ	δέ			n
0@γυναικῶν[5]	γυναικῶν	γυναικῶν			n
0@οὖσαν	οὖσαν	οὖσαν			n
0@ἀλλὰ[2]	ἀλλὰ	ἀλλά			n
0@τὴν[12]	τὴν	τήν			n
