subref	form	norm	lemma	tag	curated
hyp@ΠΕΤΡΟΥ	ΠΕΤΡΟΥ	πετρου			n
hyp@ΕΠΙΣΤΟΛΗ	ΕΠΙΣΤΟΛΗ	επιστολη			n
hyp@B	B	b			n
hyp@ΥΠΟΘΕΣΙΣ	ΥΠΟΘΕΣΙΣ	υποθεσις			n
hyp@ΕΠΕΙΔΗ	ΕΠΕΙΔΗ	επειδη			n
hyp@καὶ	καὶ	καί			n
hyp@ταύτην	ταύτην	ταύτην			n
hyp@πάλιν	πάλιν	πάλιν			n
hyp@ὁ	ὁ	ὁ			n
hyp@αὐτὸς	αὐτὸς	αὐτός			n
hyp@Πέτρος	Πέτρος	πέτρος			n
hyp@ἐπιστέλλει	ἐπιστέλλει	ἐπιστέλλει			n
hyp@τοῖς	τοῖς	τοῖς			n
hyp@ἤδη	ἤδη	ἤδη			n
hyp@πιστεύσασιν	πιστεύσασιν	πιστεύσασιν			n
hyp@ἔστι	ἔστι	ἔστι			n
hyp@δὲ	δὲ	δέ			n
hyp@ἡ	ἡ	ἡ			n
hyp@Ἐπιστολὴ	Ἐπιστολὴ	ἐπιστολή			n
hyp@ὑπόμνησις	ὑπόμνησις	ὑπόμνησις			n
hyp@τῶν	τῶν	τῶν			n
hyp@πρώτων	πρώτων	πρώτων			n
hyp@εἰδὼς	εἰδὼς	εἰδώς			n
hyp@γὰρ	γὰρ	γάρ			n
hyp@ταχεῖαν	ταχεῖαν	ταχεῖαν			n
hyp@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
hyp@ἔσεσθαι	ἔσεσθαι	ἔσεσθαι			n
hyp@τὴν	τὴν	τήν			n
hyp@ἀνάλυσιν	ἀνάλυσιν	ἀνάλυσιν			n
hyp@τοῦ[2]	τοῦ	τοῦ			n
hyp@σώματος	σώματος	σώματος			n
hyp@ἐσπούδασε	ἐσπούδασε	ἐσπούδασε			n
hyp@πάντας	πάντας	πάντας			n
hyp@ὑπομνῆσαι	ὑπομνῆσαι	ὑπομνῆσαι			n
hyp@περὶ	περὶ	περί			n
hyp@ὧν	ὧν	ὧν			n
hyp@κατηχήθησαν	κατηχήθησαν	κατηχήθησαν			n
hyp@τὴν[2]	τὴν	τήν			n
hyp@διδασκαλίαν	διδασκαλίαν	διδασκαλίαν			n
hyp@καὶ[2]	καὶ	καί			n
hyp@πρῶτον	πρῶτον	πρῶτον			n
hyp@μὲν	μὲν	μέν			n
hyp@περὶ[2]	περὶ	περί			n
hyp@τῆς	τῆς	τῆς			n
hyp@πίστεως	πίστεως	πίστεως			n
