subref	form	norm	lemma	tag	curated
1.1@Ὁδοὶ	Ὁδοὶ	ὁδοί			n
1.1@δύο	δύο	δύο	γε		n
1.1@εἰσί	εἰσί	εἰσί	εἰμί		n
1.1@μία	μία	μία			n
1.1@τῆς	τῆς	τῆς	ὁ		n
1.1@ζωῆς	ζωῆς	ζωῆς	ζωή		n
1.1@καὶ	καὶ	καί	καί		n
1.1@μια	μια	μια			n
1.1@τοῦ	τοῦ	τοῦ	ὁ		n
1.1@θανάτου	θανάτου	θανάτου	θάνατος		n
1.1@διαφορὰ	διαφορὰ	διαφορά	διαφορά		n
1.1@δὲ	δὲ	δέ	δέ		n
1.1@πολλὴ	πολλὴ	πολλή	πολύς		n
1.1@μεταξὺ	μεταξὺ	μεταξύ			n
1.1@τῶν	τῶν	τῶν	ὁ		n
1.1@δύο[2]	δύο	δύο	γε		n
1.1@ὁδῶν	ὁδῶν	ὁδῶν	ὁδός		n
1.1@Mt	Mt	mt			n
1.1@22	22	22			n
1.1@37-39	37-39	37-39			n
1.1@Mk	Mk	mk			n
1.1@12	12	12			n
1.1@30-31	30-31	30-31			n
1.1@Lev	Lev	lev			n
1.1@19	19	19			n
1.1@18	18	18			n
1.2@Ἡ	Ἡ	ἡ	ὁ		n
1.2@μὲν	μὲν	μέν	μέν		n
1.2@οὖν	οὖν	οὖν	οὖν		n
1.2@ὁδὸς	ὁδὸς	ὁδός	ὁδός		n
1.2@τῆς	τῆς	τῆς	ὁ		n
1.2@ζωῆς	ζωῆς	ζωῆς	ζωή		n
1.2@ἐστιν	ἐστιν	ἐστίν	εἰμί		n
1.2@αὕτη	αὕτη	αὕτη	οὗτος		n
1.2@πρῶτον	πρῶτον	πρῶτον	πρῶτος		n
1.2@ἀγαπήσεις	ἀγαπήσεις	ἀγαπήσεις	ἀγαπάω		n
1.2@τὸν	τὸν	τόν	ὁ		n
1.2@θεὸν	θεὸν	θεόν			n
1.2@τὸν[2]	τὸν	τόν	ὁ		n
1.2@ποιήσαντά	ποιήσαντά	ποιήσαντα	ποιέω		n
1.2@σε[2]	σε	σε			n
1.2@δεύτερον	δεύτερον	δεύτερον	δεύτερος		n
1.2@τὸν[3]	τὸν	τόν	ὁ		n
1.2@πλησίον	πλησίον	πλησίον	πλησίος		n
1.2@σου	σου	σου			n
1.2@ὡς	ὡς	ὡς	ὡς		n
1.2@σεαυτόν	σεαυτόν	σεαυτόν	σεαυτοῦ		n
1.2@πάντα	πάντα	πάντα	πᾶς		n
1.2@δὲ	δὲ	δέ	δέ		n
1.2@ὅσα	ὅσα	ὅσα	ὅσος		n
1.2@ἐὰν	ἐὰν	ἐάν	ἐάν		n
1.2@θελήσῃς	θελήσῃς	θελήσῃς	ἐθέλω		n
1.2@μὴ	μὴ	μή	μή		n
1.2@γίνεσθαί	γίνεσθαί	γίνεσθαι			n
1.2@σοι	σοι	σοι			n
1.2@καὶ	καὶ	καί	καί		n
1.2@σὺ	σὺ	σύ			n
1.2@ἄλλῳ	ἄλλῳ	ἄλλῳ	ἄλλος		n
1.2@μὴ[2]	μὴ	μή	μή		n
1.2@ποίει	ποίει	ποίει	ποιέω		n
1.2@Mt	Mt	mt			n
1.2@7	7	7			n
1.2@12	12	12			n
1.2@Luke	Luke	luke			n
1.2@6	6	6			n
1.2@81	81	81			n
1.3@Τούτων	Τούτων	τούτων	οὗτος		n
1.3@δὲ	δὲ	δέ	δέ		n
1.3@τῶν	τῶν	τῶν	ὁ		n
1.3@λόγων	λόγων	λόγων	λόγος		n
1.3@ἡ	ἡ	ἡ	ὁ		n
1.3@διδαχή	διδαχή	διδαχή	διδαχή		n
1.3@ἐστιν	ἐστιν	ἐστίν	εἰμί		n
1.3@αὕτη	αὕτη	αὕτη	οὗτος		n
1.3@Mt	Mt	mt			n
1.3@6	6	6			n
1.3@44	44	44			n
1.3@46	46	46			n
1.3@47	47	47			n
1.3@Luke	Luke	luke			n
1.3@6[3]	6	6			n
1.3@32-33	32-33	32-33			n
1.3@εὐλογεῖτε	εὐλογεῖτε	εὐλογεῖτε	εὐλογέω		n
1.3@τοῦς	τοῦς	τοῦς			n
1.3@καταρωμένους	καταρωμένους	καταρωμένους			n
1.3@ὑμῖν	ὑμῖν	ὑμῖν			n
1.3@καὶ	καὶ	καί	καί		n
1.3@προσεύχεσθε	προσεύχεσθε	προσεύχεσθε			n
1.3@ὑπὲρ	ὑπὲρ	ὑπέρ	ὑπέρ		n
1.3@τῶν[2]	τῶν	τῶν	ὁ		n
1.3@ἐχθρῶν	ἐχθρῶν	ἐχθρῶν	ἐχθρός		n
1.3@ὑμῶν	ὑμῶν	ὑμῶν	ὑμός		n
1.3@νηστεύετε	νηστεύετε	νηστεύετε			n
1.3@δὲ[2]	δὲ	δέ	δέ		n
1.3@ὑπὲρ[2]	ὑπὲρ	ὑπέρ	ὑπέρ		n
1.3@τῶν[3]	τῶν	τῶν	ὁ		n
1.3@διωκόντων	διωκόντων	διωκόντων	διώκω		n
1.3@ὑμᾶς	ὑμᾶς	ὑμᾶς			n
1.3@ποία	ποία	ποία	ποιός		n
1.3@γὰρ	γὰρ	γάρ	γάρ		n
1.3@χάρις	χάρις	χάρις	χάρις		n
1.3@ἐὰν	ἐὰν	ἐάν	ἐάν		n
1.3@ἀγαπᾶτε	ἀγαπᾶτε	ἀγαπᾶτε	ἀγαπάω		n
1.3@τοὺς	τοὺς	τούς	ὁ		n
1.3@ἀγαπῶντας	ἀγαπῶντας	ἀγαπῶντας	ἀγαπάω		n
1.3@ὑμᾶς[2]	ὑμᾶς	ὑμᾶς			n
1.3@οὐχὶ	οὐχὶ	οὐχί	οὐ		n
1.3@καὶ[2]	καὶ	καί	καί		n
1.3@τὰ	τὰ	τά	ὁ		n
1.3@ἔθνη	ἔθνη	ἔθνη	ἔθνος		n
1.3@τὸ	τὸ	τό	ὁ		n
1.3@αὐτὸ	αὐτὸ	αὐτό	αὐτός		n
1.3@ποιοῦσιν	ποιοῦσιν	ποιοῦσιν	ποιέω		n
1.3@ὑμεῖς	ὑμεῖς	ὑμεῖς			n
1.3@δὲ[3]	δὲ	δέ	δέ		n
1.3@ἀγαπᾶτε[2]	ἀγαπᾶτε	ἀγαπᾶτε	ἀγαπάω		n
1.3@τοὺς[2]	τοὺς	τούς	ὁ		n
1.3@μισοῦντας	μισοῦντας	μισοῦντας	μισέω		n
1.3@I	I	i			n
1.3@Pet	Pet	pet			n
1.3@2[2]	2	2			n
1.3@11	11	11			n
1.3@cf	cf	cf			n
1.3@Tit	Tit	tit			n
1.3@2[3]	2	2			n
1.3@12	12	12			n
1.3@ὑμᾶς[3]	ὑμᾶς	ὑμᾶς			n
1.3@καὶ[3]	καὶ	καί	καί		n
1.3@οὐχ[2]	οὐχ	οὐ	οὐ		n
