subref	form	norm	lemma	tag	curated
hyp@ΤΩΝ	ΤΩΝ	των			n
hyp@ΕΙΣ	ΕΙΣ	εις			n
hyp@THN	THN	thn			n
hyp@ΠΡΟΣ	ΠΡΟΣ	προς			n
hyp@ΤΙΤΟΝ	ΤΙΤΟΝ	τιτον			n
hyp@ΕΠΙΣΤΟΛΗΝ	ΕΠΙΣΤΟΛΗΝ	επιστολην			n
hyp@ΠΑΥΛΟΥ	ΠΑΥΛΟΥ	παυλου			n
hyp@ΤΟΥ	ΤΟΥ	του			n
hyp@ΑΠΟΣΤΟΛΟΥ	ΑΠΟΣΤΟΛΟΥ	αποστολου			n
hyp@ΕΞΗΓΗΤΙΚΩΝ	ΕΞΗΓΗΤΙΚΩΝ	εξηγητικων			n
hyp@ΕΚΛΟΓΩΝ	ΕΚΛΟΓΩΝ	εκλογων			n
hyp@ΤΟΜΟΣ	ΤΟΜΟΣ	τομος			n
hyp@ΠΡΩTΟΣ	ΠΡΩTΟΣ	πρωtος			n
hyp@ΤΩΝ[2]	ΤΩΝ	των			n
hyp@τῷ	τῷ	τῷ	τῷ		n
hyp@Παύλῳ	Παύλῳ	παύλῳ	Παῦλος		n
hyp@συνόντων	συνόντων	συνόντων	σύνειμι		n
hyp@δόκιμος	δόκιμος	δόκιμος	δόκιμος		n
hyp@οὗτος	οὗτος	οὗτος	οὗτος		n
hyp@ἦν	ἦν	ἦν	εἰμί		n
hyp@οὐκ	οὐκ	οὐ	οὐ		n
hyp@ἂν	ἂν	ἄν	ἄν		n
hyp@οὑν	οὑν	οὑν			n
hyp@αὐτῷ	αὐτῷ	αὐτῷ	αὐτός		n
hyp@τὴν	τὴν	τήν	ὁ		n
hyp@νῆσον	νῆσον	νῆσον	νῆσος		n
hyp@ὁλόκληρον	ὁλόκληρον	ὁλόκληρον	ὁλόκληρος		n
hyp@ἐπέτρεψεν	ἐπέτρεψεν	ἐπέτρεψεν	ἐπιτρέπω		n
hyp@οὐκ[2]	οὐκ	οὐ	οὐ		n
hyp@ἃν	ἃν	ἅν			n
hyp@τὰ	τὰ	τά	ὁ		n
hyp@ἐλλειφθέντα	ἐλλειφθέντα	ἐλλειφθέντα			n
hyp@ἀναπληρῶσαι	ἀναπληρῶσαι	ἀναπληρῶσαι	ἀναπληρόω		n
hyp@προσέταξεν	προσέταξεν	προσέταξεν	προστάσσω		n
hyp@ἵνα	ἵνα	ἵνα	ἵνα		n
hyp@γὰρ	γὰρ	γάρ	γάρ		n
hyp@φησὶ	φησὶ	φησί	φημί		n
hyp@τὰ[2]	τὰ	τά	ὁ		n
hyp@ἐπιλείποντα	ἐπιλείποντα	ἐπιλείποντα	ἐπιλείπω		n
hyp@ἐπιδιορθωθῇ	ἐπιδιορθωθῇ	ἐπιδιορθωθῇ			n
hyp@καὶ	καὶ	καί	καί		n
hyp@τοσούτων	τοσούτων	τοσούτων	τοσοῦτος		n
hyp@ἐπισκόπων	ἐπισκόπων	ἐπισκόπων			n
hyp@κρίσιν	κρίσιν	κρίσιν	κρίσις		n
hyp@ἐπέτρεψεν[2]	ἐπέτρεψεν	ἐπέτρεψεν	ἐπιτρέπω		n
hyp@εἰ	εἰ	εἰ	εἰ		n
hyp@μὴ	μὴ	μή	μή		n
hyp@σφόδρα	σφόδρα	σφόδρα	σφόδρα		n
hyp@ἐθάρρει	ἐθάρρει	ἐθάρρει			n
hyp@τἀνδρί	τἀνδρί	τἀνδρί			n
hyp@φασὶ	φασὶ	φασί	φημί		n
hyp@δὲ	δὲ	δέ	δέ		n
hyp@αὐτὸν	αὐτὸν	αὐτόν	αὐτός		n
hyp@καὶ[2]	καὶ	καί	καί		n
hyp@νέον	νέον	νέον	νέος		n
hyp@εἶναι	εἶναι	εἶναι	εἰμί		n
hyp@διὰ	διὰ	διά	διά		n
hyp@τὸ[2]	τὸ	τό	ὁ		n
hyp@τέκνον	τέκνον	τέκνον	τέκνον		n
hyp@αὐτῷ[2]	αὐτῷ	αὐτῷ	αὐτός		n
hyp@γράφειν	γράφειν	γράφειν	γράφω		n
hyp@πλὴν	πλὴν	πλήν	πλήν		n
hyp@ἀλλ	ἀλλ	ἀλλ			n
hyp@οὔπω	οὔπω	οὔπω	οὔπω		n
hyp@τοῦτο	τοῦτο	τοῦτο	οὗτος		n
hyp@δῆλον	δῆλον	δῆλον	δῆλος		n
hyp@ἀπὸ	ἀπὸ	ἀπό	ἀπό		n
hyp@τούτου	τούτου	τούτου	οὗτος		n
hyp@οἶμαι	οἶμαι	οἶμαι	οἴομαι		n
hyp@δὲ[2]	δὲ	δέ	δέ		n
hyp@αὐτοῦ	αὐτοῦ	αὐτοῦ	αὐτός		n
hyp@καὶ[3]	καὶ	καί	καί		n
hyp@ἐν	ἐν	ἐν	ἐν		n
hyp@ταῖς	ταῖς	ταῖς	ὁ		n
hyp@Πράξεσιν	Πράξεσιν	πράξεσιν			n
hyp@εἶναι[2]	εἶναι	εἶναι	εἰμί		n
hyp@μνείαν	μνείαν	μνείαν	μνεία		n
hyp@τάχα	τάχα	τάχα	τάχα		n
hyp@καὶ[4]	καὶ	καί	καί		n
hyp@Κορίνθιος	Κορίνθιος	κορίνθιος	Κορίνθιος		n
hyp@ἦν[2]	ἦν	ἦν	εἰμί		n
hyp@εἰ[2]	εἰ	εἰ	εἰ		n
hyp@μή	μή	μή	μή		n
hyp@τις	τις	τὶς	τις		n
hyp@ἕτερος	ἕτερος	ἕτερος	ἕτερος		n
hyp@ἦν[3]	ἦν	ἦν	εἰμί		n
hyp@ὁμώνυμος	ὁμώνυμος	ὁμώνυμος	ὁμώνυμος		n
hyp@αὐτῷ[3]	αὐτῷ	αὐτῷ	αὐτός		n
hyp@δοκοῦσι	δοκοῦσι	δοκοῦσι	δοκέω		n
hyp@δέ	δέ	δέ	δέ		n
hyp@μοι	μοι	μοι	ἐγώ		n
hyp@χρόνοι	χρόνοι	χρόνοι	χρόνος		n
hyp@εἶναι[3]	εἶναι	εἶναι	εἰμί		n
hyp@μέσοι	μέσοι	μέσοι			n
hyp@τινές	τινές	τινές	τις		n
hyp@καὶ[5]	καὶ	καί	καί		n
hyp@ἐν[2]	ἐν	ἐν	ἐν		n
hyp@ἀδίᾳ	ἀδίᾳ	ἀδίᾳ			n
hyp@Παῦλος	Παῦλος	παῦλος	Παῦλος		n
hyp@ὣν	ὣν	ὥν			n
hyp@γράφει[2]	γράφει	γράφει	γράφω		n
hyp@ταῦτα	ταῦτα	ταῦτα	οὗτος		n
hyp@οὐδὲν	οὐδὲν	οὐδέν	οὐδείς		n
hyp@γὰρ[2]	γὰρ	γάρ	γάρ		n
hyp@περὶ	περὶ	περί	περί		n
hyp@πειρασμῶν	πειρασμῶν	πειρασμῶν			n
hyp@φησὶ[2]	φησὶ	φησί	φημί		n
hyp@συνεχῶς	συνεχῶς	συνεχῶς	συνεχής		n
hyp@δὲ[4]	δὲ	δέ	δέ		n
hyp@περιστρέφει	περιστρέφει	περιστρέφει			n
hyp@τοῦ[3]	τοῦ	τοῦ	ὁ		n
hyp@Θεοῦ	Θεοῦ	θεοῦ			n
hyp@τὴν[2]	τὴν	τήν	ὁ		n
hyp@χάριν	χάριν	χάριν	χάρις		n
hyp@ἱκανὴν	ἱκανὴν	ἱκανήν	ἱκανός		n
hyp@οὖσαν	οὖσαν	οὖσαν	εἰμί		n
hyp@παράκλησιν	παράκλησιν	παράκλησιν	παράκλησις		n
hyp@τοῖς	τοῖς	τοῖς	ὁ		n
hyp@πεπιστευκόσι	πεπιστευκόσι	πεπιστευκόσι	πιστεύω		n
hyp@πρὸς	πρὸς	πρός	πρός		n
hyp@ἀρέτην	ἀρέτην	ἀρέτην			n
hyp@τὸ[3]	τὸ	τό	ὁ		n
hyp@γὰρ[3]	γὰρ	γάρ	γάρ		n
hyp@μαθεῖν	μαθεῖν	μαθεῖν	μανθάνω		n
hyp@τίνων	τίνων	τίνων			n
hyp@μὲν	μὲν	μέν	μέν		n
hyp@ἤσαν	ἤσαν	ἤσαν			n
hyp@ἄξιοι	ἄξιοι	ἄξιοι	ἄξιος		n
hyp@πρὸς[2]	πρὸς	πρός	πρός		n
hyp@τι[3]	τι	τὶ	τις		n
hyp@δὲ[5]	δὲ	δέ	δέ		n
hyp@μετέστησαν	μετέστησαν	μετέστησαν	μεθίστημι		n
hyp@καὶ[6]	καὶ	καί	καί		n
hyp@χάριτι	χάριτι	χάριτι	χάρις		n
hyp@καὶ[7]	καὶ	καί	καί		n
hyp@τίνω[2]	τίνω	τίνω	τίνω		n
hyp@ἠξίωνται	ἠξίωνται	ἠξίωνται			n
hyp@οὐ[4]	οὐ	οὐ	οὐ		n
hyp@μικρὰ	μικρὰ	μικρά	μικρός		n
hyp@προτροπή	προτροπή	προτροπή	προτροπή		n
hyp@ἀποτείνεται	ἀποτείνεται	ἀποτείνεται	ἀποτείνω		n
hyp@δὲ[6]	δὲ	δέ	δέ		n
hyp@καὶ[8]	καὶ	καί	καί		n
hyp@πρὸς[3]	πρὸς	πρός	πρός		n
hyp@τοὺς	τοὺς	τούς	ὁ		n
hyp@Ἰουδαίους	Ἰουδαίους	ἰουδαίους			n
hyp@εἰ[3]	εἰ	εἰ	εἰ		n
hyp@δὲ[7]	δὲ	δέ	δέ		n
hyp@ὁλόκληρον[2]	ὁλόκληρον	ὁλόκληρον			n
hyp@τὸ[4]	τὸ	τό	ὁ		n
hyp@ἔθνος	ἔθνος	ἔθνος	ἔθνος		n
hyp@ὑβρίζει	ὑβρίζει	ὑβρίζει	ὑβρίζω		n
hyp@μὴ[2]	μὴ	μή	μή		n
hyp@θαυμάσῃς	θαυμάσῃς	θαυμάσῃς	θαυμάζω		n
hyp@καὶ[9]	καὶ	καί	καί		n
hyp@ἐπὶ	ἐπὶ	ἐπί	ἐπί		n
hyp@Γαλατῶν	Γαλατῶν	γαλατῶν	Γαλάτης		n
hyp@γὰρ[4]	γὰρ	γάρ	γάρ		n
hyp@αὐτὸ[2]	αὐτὸ	αὐτό	αὐτός		n
hyp@ποιεῖ	ποιεῖ	ποιεῖ	ποιέω		n
hyp@οὐχ	οὐχ	οὐ	οὐ		n
hyp@ὑβριστικοῦ	ὑβριστικοῦ	ὑβριστικοῦ			n
hyp@δὲ[8]	δὲ	δέ	δέ		n
hyp@τοῦτο[2]	τοῦτο	τοῦτο	οὗτος		n
hyp@ἤθους	ἤθους	ἤθους	ἦθος		n
hyp@ἀλλ[2]	ἀλλ	ἀλλ			n
hyp@ἐρωτικοῦ	ἐρωτικοῦ	ἐρωτικοῦ	ἐρωτικός		n
hyp@εἰ[4]	εἰ	εἰ	εἰ		n
hyp@μὲν[2]	μὲν	μέν	μέν		n
hyp@γὰρ[5]	γὰρ	γάρ	γάρ		n
hyp@τῶν[2]	τῶν	τῶν	ὁ		n
hyp@αὐτοῦ[2]	αὐτοῦ	αὐτοῦ	αὐτός		n
hyp@ἕνεκεν	ἕνεκεν	ἕνεκεν	ἕνεκα		n
hyp@ταῦτα[2]	ταῦτα	ταῦτα	οὗτος		n
hyp@ἐποίει	ἐποίει	ἐποίει	ποιέω		n
hyp@εἰκότως	εἰκότως	εἰκότως	εἰκός		n
hyp@τίς	τίς	τίς	τις		n
hyp@αὐτῶ	αὐτῶ	αὐτῶ			n
hyp@ἐμέμψατο	ἐμέμψατο	ἐμέμψατο	μέμφομαι		n
hyp@εἰ[6]	εἰ	εἰ	εἰ		n
hyp@δὲ[9]	δὲ	δέ	δέ		n
hyp@πεπυρωμένος	πεπυρωμένος	πεπυρωμένος			n
hyp@καὶ[10]	καὶ	καί	καί		n
hyp@ζέων	ζέων	ζέων	ζέω		n
hyp@ὑπὲρ	ὑπὲρ	ὑπέρ	ὑπέρ		n
hyp@τοῦ[6]	τοῦ	τοῦ	ὁ		n
hyp@κηρύγματος	κηρύγματος	κηρύγματος	κήρυγμα		n
hyp@οὐχ[2]	οὐχ	οὐ			n
hyp@ὑβριστικῶς	ὑβριστικῶς	ὑβριστικῶς	ὑβριστικός		n
hyp@αὐτὸ[3]	αὐτὸ	αὐτό	αὐτός		n
hyp@ἐποίει[2]	ἐποίει	ἐποίει	ποιέω		n
hyp@καὶ[11]	καὶ	καί	καί		n
hyp@ὁ[4]	ὁ	ὁ	ὁ		n
hyp@Χριστὸς	Χριστὸς	χριστός			n
hyp@δὲ[10]	δὲ	δέ	δέ		n
hyp@μυρία	μυρία	μυρία	μυρίος		n
hyp@ἐλοιδορεῖτο	ἐλοιδορεῖτο	ἐλοιδορεῖτο	λοιδορέω		n
hyp@τοῖς[2]	τοῖς	τοῖς	ὁ		n
hyp@γραμματεῦσι	γραμματεῦσι	γραμματεῦσι			n
hyp@καὶ[12]	καὶ	καί	καί		n
hyp@Φαρισαίοις	Φαρισαίοις	φαρισαίοις	Φαρισαῖος		n
hyp@ἀλλ[3]	ἀλλ	ἀλλ			n
hyp@οὐκ[3]	οὐκ	οὐ	οὐ		n
hyp@αὐτοῦ[3]	αὐτοῦ	αὐτοῦ	αὐτός		n
hyp@ἕνεκεν[2]	ἕνεκεν	ἕνεκεν	ἕνεκα		n
hyp@ἀλλ[4]	ἀλλ	ἀλλ			n
hyp@ὅτι	ὅτι	ὅτι	ὅτι2		n
hyp@τοὺς[2]	τοὺς	τούς	ὁ		n
hyp@ἄλλους	ἄλλους	ἄλλους			n
hyp@ἅπαντας	ἅπαντας	ἅπαντας	ἅπας		n
hyp@ἀπολύων	ἀπολύων	ἀπολύων	ἀπολύω		n
hyp@βραχεῖαν	βραχεῖαν	βραχεῖαν	βραχύς		n
hyp@δὲ[11]	δὲ	δέ	δέ		n
hyp@ποιεῖ[2]	ποιεῖ	ποιεῖ	ποιέω		n
hyp@τὴν[3]	τὴν	τήν	ὁ		n
hyp@Ἐπιστολὴν	Ἐπιστολὴν	ἐπιστολήν	ἐπιστολή		n
hyp@εἰκότως[2]	εἰκότως	εἰκότως	εἰκός		n
hyp@καὶ[13]	καὶ	καί	καί		n
hyp@τοῦτο[3]	τοῦτο	τοῦτο	οὗτος		n
hyp@δὲ[12]	δὲ	δέ	δέ		n
hyp@τῆς	τῆς	τῆς	ὁ		n
hyp@ἀρετῆς	ἀρετῆς	ἀρετῆς	ἀρετή		n
hyp@τοῦ[9]	τοῦ	τοῦ	ὁ		n
hyp@Τίτου	Τίτου	τίτου	Τίτος		n
hyp@τεκμήριον	τεκμήριον	τεκμήριον	τεκμήριον		n
hyp@ἦν[4]	ἦν	ἦν	εἰμί		n
hyp@τὸ[8]	τὸ	τό	ὁ		n
hyp@μὴ[3]	μὴ	μή	μή		n
hyp@δεῖσθαι	δεῖσθαι	δεῖσθαι	δέω		n
hyp@λόγων	λόγων	λόγων	λόγος		n
hyp@πολλῶν	πολλῶν	πολλῶν	πολύς		n
hyp@ἀλλ[5]	ἀλλ	ἀλλ			n
hyp@ὥσπερ	ὥσπερ	ὥσπερ	ὥσπερ		n
hyp@τινὸς	τινὸς	τινός			n
hyp@ὑπομνήσεως	ὑπομνήσεως	ὑπομνήσεως	ὑπόμνησις		n
hyp@αὕτη	αὕτη	αὕτη	οὗτος		n
hyp@δέ[2]	δέ	δέ	δέ		n
hyp@μοι[2]	μοι	μοι			n
hyp@δοκεῖ	δοκεῖ	δοκεῖ	δοκέω		n
hyp@τῆς[3]	τῆς	τῆς	ὁ		n
hyp@πρὸς[4]	πρὸς	πρός	πρός		n
hyp@Τιμόθεον	Τιμόθεον	τιμόθεον	Τιμόθεος		n
hyp@νεαρωτέρα	νεαρωτέρα	νεαρωτέρα			n
hyp@Ἐπιστολὴ[2]	Ἐπιστολὴ	ἐπιστολή	ἐπιστολή		n
hyp@ἐκείνην	ἐκείνην	ἐκείνην	ἐκεῖνος		n
hyp@μὲν[3]	μὲν	μέν	μέν		n
hyp@γὰρ[6]	γὰρ	γάρ	γάρ		n
hyp@πρὸς[5]	πρὸς	πρός	πρός		n
hyp@τῷ[5]	τῷ	τῷ	ὁ		n
hyp@τέλει	τέλει	τέλει	τέλος		n
hyp@ὣν[2]	ὣν	ὥν			n
hyp@ἔγραφεν	ἔγραφεν	ἔγραφεν	γράφω		n
hyp@ἐνταῦθα	ἐνταῦθα	ἐνταῦθα	ἐνταῦθα		n
hyp@δὲ[13]	δὲ	δέ	δέ		n
hyp@ἄφετος	ἄφετος	ἄφετος	ἄφετος		n
hyp@ὣν[3]	ὣν	ὥν			n
hyp@καὶ[14]	καὶ	καί	καί		n
hyp@λελυμένος	λελυμένος	λελυμένος	λύω		n
hyp@τὸ[9]	τὸ	τό	ὁ		n
hyp@γὰρ[7]	γὰρ	γάρ	γάρ		n
hyp@κέκρικα	κέκρικα	κέκρικα			n
hyp@παραχει-	παραχει-	παραχει-			n
hyp@μάσαι	μάσαι	μάσαι			n
hyp@ἐν[4]	ἐν	ἐν	ἐν		n
hyp@Ν̓ικοπόλει	Ν̓ικοπόλει	ν̓ικοπόλει			n
hyp@τεκμήριον[2]	τεκμήριον	τεκμήριον	τεκμήριον		n
hyp@ἦν[5]	ἦν	ἦν	εἰμί		n
hyp@τοῦ[10]	τοῦ	τοῦ	ὁ		n
hyp@μηδέπω	μηδέπω	μηδέπω	μηδέπω		n
hyp@ἐν[5]	ἐν	ἐν	ἐν		n
hyp@δεσμοῖς	δεσμοῖς	δεσμοῖς	δεσμός		n
hyp@εἶναι[4]	εἶναι	εἶναι	εἰμί		n
hyp@ἐκεῖ	ἐκεῖ	ἐκεῖ	ἐκεῖ		n
hyp@δὲ[14]	δὲ	δέ	δέ		n
hyp@συνεχῶς[2]	συνεχῶς	συνεχῶς	συνεχής		n
hyp@δέσμιον	δέσμιον	δέσμιον	δέσμιος		n
hyp@ἑαυτὸν	ἑαυτὸν	ἑαυτόν	ἑαυτοῦ		n
hyp@καλεῖ	καλεῖ	καλεῖ	καλέω		n
toc@ΚΕΦΑΛΑΙΑ	ΚΕΦΑΛΑΙΑ	κεφαλαια			n
toc@ΤΗΣ	ΤΗΣ	της			n
toc@ΠΡΟΣ	ΠΡΟΣ	προς			n
toc@TITON	TITON	titon			n
toc@ΕΠΙΣTΟΛHΣ	ΕΠΙΣTΟΛHΣ	επισtολhς			n
toc@α	α	α			n
toc@Περὶ	Περὶ	περί			n
toc@διδασκάλων	διδασκάλων	διδασκάλων			n
toc@ἐπιτηδείων	ἐπιτηδείων	ἐπιτηδείων	ἐπιτήδειος		n
toc@εἰς	εἰς	εἰς	εἰς		n
toc@διακονίαν	διακονίαν	διακονίαν	διακονία		n
toc@καὶ	καὶ	καί	καί		n
toc@ἔλεγχον	ἔλεγχον	ἔλεγχον	ἐλέγχω		n
toc@ἀπειθῶν	ἀπειθῶν	ἀπειθῶν	ἀπειθέω		n
toc@β	β	β			n
toc@Κατὰ	Κατὰ	κατά	κατά		n
toc@τῶν	τῶν	τῶν	ὁ		n
toc@σαρκικὰς	σαρκικὰς	σαρκικάς			n
toc@καθάρσεις	καθάρσεις	καθάρσεις	κάθαρσις		n
toc@πρεσβευόντων	πρεσβευόντων	πρεσβευόντων	πρεσβεύω		n
toc@καὶ[2]	καὶ	καί	καί		n
toc@ὑπὲρ	ὑπὲρ	ὑπέρ	ὑπέρ		n
toc@πνευματικῆς	πνευματικῆς	πνευματικῆς	πνευματικός		n
toc@ἀρετῆς	ἀρετῆς	ἀρετῆς	ἀρετή		n
toc@γ[2]	γ	γ			n
toc@Παραινέσεις	Παραινέσεις	παραινέσεις			n
toc@ἃς	ἃς	ἅς	ὅς		n
toc@δεῖ	δεῖ	δεῖ	δέω		n
toc@παραινεῖν	παραινεῖν	παραινεῖν	παραινέω		n
toc@καθ[2]	καθ	καθ			n
toc@ἡλικίαν	ἡλικίαν	ἡλικίαν	ἡλικία		n
toc@ἑκάστοις	ἑκάστοις	ἑκάστοις	ἕκαστος		n
toc@δ[6]	δ	δ			n
toc@Περὶ[2]	Περὶ	περί			n
toc@δούλων	δούλων	δούλων	δοῦλος		n
toc@ὡς	ὡς	ὡς	ὡς		n
toc@ἂν	ἂν	ἄν	ἄν		n
toc@καὶ[3]	καὶ	καί	καί		n
toc@αὐτοὶ	αὐτοὶ	αὐτοί	αὐτός		n
