subref	form	norm	lemma	tag	curated
preface@ΑNONYMI	ΑNONYMI	αnonymi			n
preface@IN	IN	in			n
preface@ARISTOTELIS	ARISTOTELIS	aristotelis			n
preface@CATEGORIAS	CATEGORIAS	categorias			n
preface@PARAPHRASIS	PARAPHRASIS	paraphrasis			n
preface@ΠΑΡΑΦΡΑΣΙΣ	ΠΑΡΑΦΡΑΣΙΣ	παραφρασις			n
preface@ΕΙΣ	ΕΙΣ	εις			n
preface@ΤΑΣ	ΤΑΣ	τας			n
preface@ΚΑΤΗΓΟΡΙΑΣ	ΚΑΤΗΓΟΡΙΑΣ	κατηγοριας			n
preface@Τῶν	Τῶν	τῶν			n
preface@ὄντων	ὄντων	ὄντων			n
preface@τὰ	τὰ	τά			n
preface@μὲν	μὲν	μέν			n
preface@ταὐτώνυμα	ταὐτώνυμα	ταὐτώνυμα			n
preface@τὰ[2]	τὰ	τά			n
preface@δὲ	δὲ	δέ			n
preface@ἑτερώνυμα	ἑτερώνυμα	ἑτερώνυμα			n
preface@τὰ[3]	τὰ	τά			n
preface@δὲ[2]	δὲ	δέ			n
preface@μέσα	μέσα	μέσα			n
preface@τούτων	τούτων	τούτων			n
preface@καὶ	καὶ	καί			n
preface@τῶν	τῶν	τῶν			n
preface@ταὐτωνύμων	ταὐτωνύμων	ταὐτωνύμων			n
preface@τὰ[4]	τὰ	τά			n
preface@μὲν[2]	μὲν	μέν			n
preface@ὁμώνυμα	ὁμώνυμα	ὁμώνυμα			n
preface@τὰ[5]	τὰ	τά			n
preface@δὲ[3]	δὲ	δέ			n
preface@συνώνυμα	συνώνυμα	συνώνυμα			n
preface@τῶν[2]	τῶν	τῶν			n
preface@δὲ[4]	δὲ	δέ			n
preface@ἑτερωνύμων	ἑτερωνύμων	ἑτερωνύμων			n
preface@τὰ[6]	τὰ	τά			n
preface@μὲν[3]	μὲν	μέν			n
preface@ἰδίως	ἰδίως	ἰδίως			n
preface@ἑτερώνυμα[2]	ἑτερώνυμα	ἑτερώνυμα			n
preface@τὰ[7]	τὰ	τά			n
preface@δὲ[5]	δὲ	δέ			n
preface@πολυώνυμα	πολυώνυμα	πολυώνυμα			n
preface@τὰ[8]	τὰ	τά			n
preface@δὲ[6]	δὲ	δέ			n
preface@ἕτερα	ἕτερα	ἕτερα			n
preface@μέσα[2]	μέσα	μέσα			n
preface@δὲ[7]	δὲ	δέ			n
preface@τούτων[2]	τούτων	τούτων			n
preface@οἷα	οἷα	οἷα			n
preface@τὰ[9]	τὰ	τά			n
preface@παρώνυμα	παρώνυμα	παρώνυμα			n
preface@ἐπεὶ	ἐπεὶ	ἐπεί			n
preface@γὰρ	γὰρ	γάρ			n
preface@ἕκαστον	ἕκαστον	ἕκαστον			n
preface@τῶν[3]	τῶν	τῶν			n
preface@ἐν	ἐν	ἐν			n
preface@τῷ	τῷ	τῷ			n
preface@κόσμῳ	κόσμῳ	κόσμῳ			n
preface@πραγμάτων	πραγμάτων	πραγμάτων			n
preface@καὶ[2]	καὶ	καί			n
preface@ὀνόματι	ὀνόματι	ὀνόματι			n
preface@δηλοῦται	δηλοῦται	δηλοῦται			n
preface@καὶ[3]	καὶ	καί			n
preface@λόγῳ	λόγῳ	λόγῳ			n
preface@ὁριστικῷ	ὁριστικῷ	ὁριστικῷ			n
