subref	form	norm	lemma	tag	curated
2.2@πατρὸς	πατρὸς	πατρός			n
2.2@δοῦναί	δοῦναί	δοῦναι			n
2.2@τινι	τινι	τινί			n
2.2@σῖτον	σῖτον	σῖτον			n
2.2@εἰς	εἰς	εἰς			n
2.2@μισθοῦ	μισθοῦ	μισθοῦ			n
2.2@λόγον	λόγον	λόγον			n
2.2@καὶ	καὶ	καί			n
2.2@προστιθέντος	προστιθέντος	προστιθέντος			n
2.2@ἐδίδαξε	ἐδίδαξε	ἐδίδαξε			n
2.2@γάρ	γάρ	γάρ			n
2.2@με	με	με			n
2.2@τὸν	τὸν	τόν			n
2.2@οἶνον	οἶνον	οἶνον			n
2.2@χρηστὸν	χρηστὸν	χρηστόν			n
2.2@ποιεῖν	ποιεῖν	ποιεῖν			n
2.2@οὐκοῦν	οὐκοῦν	οὐκοῦν			n
2.2@ὦ	ὦ	ὦ			n
2.2@πάτερ	πάτερ	πάτερ			n
2.2@ἔφη	ἔφη	ἔφη			n
2.2@ὃ	ὃ	ὅ			n
2.2@τʼ	τʼ	τʼ			n
2.2@οἶνος	οἶνος	οἶνος			n
2.2@πλείων	πλείων	πλείων			n
2.2@ἐκποθήσεται	ἐκποθήσεται	ἐκποθήσεται			n
2.2@καὶ[2]	καὶ	καί			n
2.2@οἱ	οἱ	οἱ			n
2.2@πίνοντες	πίνοντες	πίνοντες			n
2.2@θρυπτικώτεροι	θρυπτικώτεροι	θρυπτικώτεροι			n
2.2@καὶ[3]	καὶ	καί			n
2.2@χείρονες	χείρονες	χείρονες			n
2.2@γενήσονται	γενήσονται	γενήσονται			n
2.2@ʼ[2]	ʼ	ʼ			n
2.2@ʼ[3]	ʼ	ʼ			n
2.3@τὸν	τὸν	τόν			n
2.3@δʼ	δʼ	δʼ			n
2.3@Ἀρισταγόραν	Ἀρισταγόραν	ἀρισταγόραν			n
2.3@ὑπό	ὑπό	ὑπό			n
2.3@τινος	τινος	τινός			n
2.3@τῶν	τῶν	τῶν			n
2.3@οἰκετῶν	οἰκετῶν	οἰκετῶν			n
2.3@ὑποδούμενον	ὑποδούμενον	ὑποδούμενον			n
2.3@θεασαμένη	θεασαμένη	θεασαμένη			n
2.3@πάτερ	πάτερ	πάτερ			n
2.3@ἔφη	ἔφη	ἔφη			n
2.3@ὁ	ὁ	ὁ			n
2.3@ξένος	ξένος	ξένος			n
2.3@χεῖρας	χεῖρας	χεῖρας			n
2.3@οὐκ	οὐκ	οὐ			n
2.3@ἔχει	ἔχει	ἔχει			n
2.4@ξένου	ξένου	ξένου			n
2.4@δέ	δέ	δέ			n
2.4@τινος	τινος	τινός			n
2.4@μαλακῶς	μαλακῶς	μαλακῶς			n
2.4@καὶ	καὶ	καί			n
2.4@σχολῇ	σχολῇ	σχολῇ			n
2.4@καὶ[2]	καὶ	καί			n
2.4@σχολῇ[2]	σχολῇ	σχολῇ			n
2.4@or	or	or			n
2.4@σχολῇ[3]	σχολῇ	σχολῇ			n
2.4@στολὴν	στολὴν	στολήν			n
2.4@Stephanus	Stephanus	stephanus			n
2.4@perhaps	perhaps	perhaps			n
2.4@rightly	rightly	rightly			n
2.4@προσαγαγόντος	προσαγαγόντος	προσαγαγόντος			n
2.4@παρωσαμένη	παρωσαμένη	παρωσαμένη			n
2.4@αὐτόν	αὐτόν	αὐτόν			n
2.4@οὐκ	οὐκ	οὐ			n
2.4@ἄπει	ἄπει	ἄπει			n
2.4@ἐντεῦθεν	ἐντεῦθεν	ἐντεῦθεν			n
2.4@εἶπεν	εἶπεν	εἶπεν			n
2.4@οὐδὲ	οὐδὲ	οὐδέ			n
2.4@οὐδὲ[2]	οὐδὲ	οὐδέ			n
2.4@Bernardakis	Bernardakis	bernardakis			n
2.4@οὔτε	οὔτε	οὔτε			n
2.4@τὰ	τὰ	τά			n
2.4@τῆς	τῆς	τῆς			n
2.4@γυναικὸς	γυναικὸς	γυναικός			n
2.4@δυνάμενος	δυνάμενος	δυνάμενος			n
2.4@ν[13]	ν	ν			n
2.5@ἐρωτηθεῖσα	ἐρωτηθεῖσα	ἐρωτηθεῖσα			n
2.5@δὲ	δὲ	δέ			n
2.5@ὑπό	ὑπό	ὑπό			n
2.5@τινος	τινος	τινός			n
2.5@Ἀττικῆς	Ἀττικῆς	ἀττικῆς			n
2.5@διὰ	διὰ	διά			n
2.5@τί	τί	τί			n
2.5@ὑμεῖς	ὑμεῖς	ὑμεῖς			n
2.5@ἄρχετε	ἄρχετε	ἄρχετε			n
2.5@μόναι	μόναι	μόναι			n
