subref	form	norm	lemma	tag	curated
vita@ΣΧΟΛΙΑ	ΣΧΟΛΙΑ	σχολια			n
vita@Γίνος	Γίνος	γίνος			n
vita@Διονυσίου	Διονυσίου	διονυσίου			n
vita@Ἀλεξανδρέως	Ἀλεξανδρέως	ἀλεξανδρέως			n
vita@τοῦ	τοῦ	τοῦ			n
vita@περιηγητοῦ	περιηγητοῦ	περιηγητοῦ			n
vita@Διονύσιος	Διονύσιος	διονύσιος			n
vita@ὁ	ὁ	ὁ			n
vita@Περιηγητὴς	Περιηγητὴς	περιηγητής			n
vita@γέγονεν	γέγονεν	γέγονεν			n
vita@υἱὸς	υἱὸς	υἱός			n
vita@Διονυσίου[2]	Διονυσίου	διονυσίου			n
vita@Ἀλεξανδρέως[2]	Ἀλεξανδρέως	ἀλεξανδρέως			n
vita@Γέγονε	Γέγονε	γέγονε			n
vita@δὲ	δὲ	δέ			n
vita@ἐπὶ	ἐπὶ	ἐπί			n
vita@τῶν	τῶν	τῶν			n
vita@Ῥωμαῖκῶν	Ῥωμαῖκῶν	ῥωμαῖκων			n
vita@χρόνων	χρόνων	χρόνων			n
vita@μετὰ	μετὰ	μετά			n
vita@Αὔγουστον	Αὔγουστον	αὔγουστον			n
vita@Καίσαρα	Καίσαρα	καίσαρα			n
vita@ἢ	ἢ	ἤ			n
vita@ἐπʼ	ἐπʼ	ἐπʼ			n
vita@αὐτοῦ	αὐτοῦ	αὐτοῦ			n
vita@Οἱ	Οἱ	οἱ			n
vita@δὲ[2]	δὲ	δέ			n
vita@κατὰ	κατὰ	κατά			n
vita@Νέρωνα	Νέρωνα	νέρωνα			n
vita@τὸν	τὸν	τόν			n
vita@Ῥωμαίων	Ῥωμαίων	ῥωμαίων			n
vita@βασιλέα	βασιλέα	βασιλέα			n
vita@φασὶ	φασὶ	φασί			n
vita@γενέσθαι	γενέσθαι	γενέσθαι			n
vita@Ἄδηλον	Ἄδηλον	ἄδηλον			n
vita@δὲ[3]	δὲ	δέ			n
vita@πόθεν	πόθεν	πόθεν			n
vita@γέγονε[2]	γέγονε	γέγονε			n
vita@καὶ	καὶ	καί			n
vita@τίνων	τίνων	τίνων			n
vita@γονέων	γονέων	γονέων			n
vita@Φέρονται	Φέρονται	φέρονται			n
vita@δὲ[4]	δὲ	δέ			n
